employee_id,first_name,last_name,email,phone_NUMERIC,job_id,salary,commission_pct,manager_id,department_id
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000.00,NULL,103,60
113,Luis,Popp,LPOPP,515.124.4567,FI_ACCOUNT,6900.00,NULL,108,100
123,Shanta,Vollman,SVOLLMAN,650.123.4234,ST_MAN,6500.00,NULL,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,ST_MAN,5800.00,NULL,100,50
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,SA_REP,7000.00,0.15,145,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,SA_REP,7000.00,0.25,146,80
165,David,Lee,DLEE,011.44.1346.529268,SA_REP,6800.00,0.10,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,SA_REP,6400.00,0.10,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,SA_REP,6200.00,0.10,147,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,SA_REP,6100.00,0.10,148,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,SA_REP,7000.00,0.15,149,NULL
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,SA_REP,6200.00,0.10,149,80
202,Pat,Fay,PFAY,603.123.6666,MK_REP,6000.00,NULL,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,HR_REP,6500.00,NULL,101,40
